ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"172.67.150.173","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","socks5","93","1","2025-05-29T20:01:05.746Z","100","9892","9892"
"80.240.124.5","elite","AS199524","BR","G-Core Labs S.A.","165","G-Core Labs S.A","51987","socks4","4715","1","2025-05-29T20:01:05.746Z","100","1764","1764"
"114.4.200.222","elite","AS4761","ID","PT. INDOSAT Tbk","256","PT. INDOSAT Tbk","5678","socks4","4382","1","2025-05-29T20:01:05.730Z","96","3022","3152"
"43.153.64.134","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","153","Tencent Cloud Computing","443","socks4","1123","1","2025-05-29T20:01:05.745Z","91","8990","9882"
"58.187.175.215","elite","AS18403","VN","FPT Telecom Company","212","Vietnam Internet Network Information Center","16000","http","296","36308","2025-05-29T20:01:05.655Z","97","33","34"
"185.139.25.44","elite","AS200088","PL","Howick Digital","61","John Macleod trading as Howick Digital","52194","socks4","5015","60","2025-05-29T20:01:05.748Z","98","2549","2598"
"23.82.137.158","elite","AS393886","US","Leaseweb USA, Inc.","116","Leaseweb USA, Inc","80","http","742","36308","2025-05-29T20:01:05.656Z","100","18","18"
"14.225.3.194","elite","AS135905","VN","Vietnam Posts and Telecommunications Group","219","VNPT","3128","socks4","5011","1","2025-05-29T20:01:05.742Z","99","560","566"
"45.131.6.208","elite","AS209242","BZ","Cloudflare London, LLC","7","Inter Networks","80","socks5","4975","1","2025-05-29T20:01:05.733Z","100","2971","2971"
"103.51.44.41","elite","AS133819","ID","CIM","187","N/A","4145","socks4","4984","1","2025-05-29T20:01:05.658Z","99","9661","9791"
"45.12.31.190","elite","AS209242","GB","Cloudflare London, LLC","11","LIR Services","80","socks4","4775","1","2025-05-29T20:01:05.738Z","100","92","92"
"167.99.73.40","elite","AS14061","SG","DigitalOcean, LLC","158","DigitalOcean, LLC","6292","socks4","4477","1","2025-05-29T20:01:05.752Z","99","653","657"
"102.39.161.31","elite","AS11845","ZA","Vox Telecommunications (Pty) Limited","185","Vox Telecom (Pty) Ltd","8080","socks4","4888","1","2025-05-29T20:01:05.658Z","50","1238","2498"
"200.214.154.135","elite","AS4230","BR","Claro S.A.","204","Claro S.A","4145","socks4","4892","1","2025-05-29T20:01:05.745Z","95","2870","3036"
"188.166.231.167","elite","AS14061","SG","DigitalOcean, LLC","177","Digitalocean","7497","socks5","4291","1","2025-05-29T20:01:05.752Z","99","9638","9762"
"185.215.53.129","elite","AS205368","AM","Fnet LLC","65","N/A","3629","socks4","4518","1","2025-05-29T20:01:05.730Z","100","3106","3110"
"185.170.233.102","elite","AS206912","CY","Superdach LTD","57","Infra","47574","socks4","4604","1","2025-05-29T20:01:05.661Z","100","3154","3154"
"94.154.221.91","elite","AS48279","UA","Delta-Net LLC","30","Delta","5678","socks4","4093","1","2025-05-29T20:01:05.659Z","100","3111","3119"
"193.200.151.69","elite","AS42905","UA","LIMANET Ltd","40","ISP LIMANET","32777","socks4","621","1","2025-05-29T20:01:05.737Z","78","2450","3161"
"202.142.147.220","elite","AS23750","PK","Gerrys Information Technology (PVT) Ltd","146","Gerrys - TWA","14888","socks4","4403","1","2025-05-29T20:01:05.733Z","98","460","471"
"185.94.7.236","elite","AS200848","CZ","ISP Alliance a.s.","19","GRAPE SC","4145","socks4","4208","1","2025-05-29T20:00:55.258Z","100","9804","9822"
"45.126.169.193","elite","AS134014","IN","NET 4 U SERVICES PVT LTD","182","NET 4 U Services PVT LTD","4145","socks4","4890","1","2025-05-29T20:00:55.159Z","98","9653","9803"
"190.53.45.222","elite","AS27742","SV","Amnet Telecomunicaciones S.A.","156","Millicom Cable El Salvador S.a. De C.V","33333","socks4","3282","1","2025-05-29T20:00:55.252Z","79","2446","3110"
"194.44.74.118","elite","AS3255","UA","UARNET-RIVNE","38","UARNet Rivne","1080","socks4","4409","1","2025-05-29T20:00:55.141Z","99","3125","3145"
"70.34.222.80","elite","AS20473","SE","The Constant Company","23","Vultr","1080","socks5","3672","1","2025-05-29T20:00:55.139Z","53","5237","9845"
"187.122.105.181","elite","AS28573","BR","Claro NXT Telecomunicacoes Ltda","247","Claro NXT Telecomunicacoes Ltda","4153","socks4","2965","1","2025-05-29T20:00:55.253Z","94","2951","3154"
"36.92.56.65","elite","AS7713","ID","PT. Telekomunikasi Indonesia","193","Telekomunikasi Indonesia","5678","socks4","5074","1","2025-05-29T20:00:55.257Z","94","2950","3146"
"171.243.25.44","elite","AS7552","VN","Viettel Corporation","247","VIETEL","5311","socks4","5167","1","2025-05-29T20:00:55.149Z","70","2177","3127"
"155.133.83.169","elite","AS136787","DE","PacketHub S.A.","12","Packethub S.A","58351","socks4","4631","1","2025-05-29T20:00:55.156Z","62","6151","9855"
"51.83.135.35","elite","AS16276","PL","OVH SAS","32","OVH Sp. z o. o","2846","socks4","4478","1","2025-05-29T20:00:55.261Z","93","9076","9790"
"168.119.226.2","elite","AS24940","DE","Hetzner Online GmbH","7","Hetzner","8080","socks4","4113","1","2025-05-29T20:00:55.255Z","100","2408","2408"
"138.186.133.161","elite","AS53160","BR","Unidasnet Comunicacoes Ltda","205","Unidasnet Comunicacoes Ltda","4153","socks4","5087","1","2025-05-29T20:00:55.148Z","100","3101","3114"
"51.15.234.222","elite","AS12876","FR","SCALEWAY","7","ONLINE","16379","socks5","4494","1","2025-05-29T20:00:55.262Z","14","440","3153"
"149.20.253.51","elite","AS18615","US","Mainstream Fiber Networks, LLC","103","Mainstream Fiber Networks, LLC","12551","socks4","3816","1","2025-05-29T20:00:55.254Z","100","9823","9841"
"95.216.153.69","elite","AS24940","FI","Hetzner Online GmbH","34","Hetzner Online GmbH","8888","socks4","3692","1","2025-05-29T20:00:55.265Z","98","1693","1725"
"51.15.142.4","elite","AS12876","FR","SCALEWAY","7","ONLINE","16379","socks4","4412","1","2025-05-29T20:00:55.263Z","16","501","3147"
"177.223.238.20","elite","AS52559","BR","Novatec Telecom Ltda","213","Novatec Telecom Ltda","4153","socks4","3273","1","2025-05-29T20:00:55.147Z","99","9744","9821"
"103.76.190.210","elite","AS135758","IN","Alacriy Net System Service Private Limited","190","Alacriy Net System Service Private Limited","58275","socks5","3069","1","2025-05-29T20:00:55.159Z","99","9750","9856"
"212.108.205.6","elite","AS12301","HU","Invitech ICT Services Kft.","24","Invitech ICT Services Kft","5678","socks4","4583","1","2025-05-29T20:00:55.259Z","99","9702","9779"
"193.105.124.46","elite","AS196939","UA","Homenet IT LLC","42","Homenet IT LLC","1080","socks5","2893","1","2025-05-29T20:00:55.251Z","98","9610","9815"
"45.76.144.30","elite","AS20473","SG","The Constant Company","248","Vultr Holdings, LLC","41086","socks4","4782","1","2025-05-29T20:00:55.156Z","62","6090","9899"
"41.160.238.106","elite","AS36937","ZA","Liquid Telecommunications Operations Limited","193","Neotel GAU","5678","socks4","3994","1","2025-05-29T20:00:55.149Z","90","8946","9943"
"45.138.69.36","elite","AS35251","CA","Zhihua Lu trading as HostHub","145","HostHub","20000","socks4","4805","1","2025-05-29T20:00:55.153Z","99","2341","2357"
"103.44.15.193","elite","AS133685","IN","SDN TELECOM PVT LTD","173","SDN Telecom PVT LTD","4145","socks4","4488","1","2025-05-29T20:00:55.260Z","99","3114","3140"
"185.190.38.1","elite","AS211468","XK","KOSNET Telecommunications LLC","34","KOSNET Telecommunications LLC","8080","socks4","4411","1","2025-05-29T20:00:55.261Z","100","2375","2382"
"110.243.10.155","elite","AS4837","CN","China Unicom Hebei Province Network","162","N/A","9999","socks4","2420","1","2025-05-29T20:00:55.256Z","94","693","735"
"166.0.246.14","elite","AS21859","VN","Ipxo LLC","266","Internet Utilities NA LLC","6051","socks4","3899","1","2025-05-29T20:00:55.158Z","100","1879","1881"
"27.65.112.87","elite","AS7552","VN","Viettel Group","313","VIETTEL","1080","socks4","4298","1","2025-05-29T20:00:55.152Z","81","1904","2341"
"75.119.204.161","elite","AS26347","US","New Dream Network, LLC","162","New Dream Network, LLC","7028","socks5","2902","1","2025-05-29T20:00:18.729Z","73","7197","9792"
"103.4.118.130","elite","AS38203","BD","ADN Telecom Ltd.","305","ADN Telecom Limited.","5678","socks4","3588","1","2025-05-29T20:00:18.662Z","90","2816","3132"
